#the out orientation uses roll, pitch from imu and yaw from cam
INPUT COMMAND,OUTPUT_POS,OUTPUT_ORI
"0.000 1.250 0.000 0 0 0",""0.000 1.250 0.000 0 0 0","0.01,0.00,-0.02,","-0.99,-1.28,-0.02"
"1.063 0.388 0.000 0 0 0","-1.27,0.15,0.01,","-1.11,0.62,0.06"
"1.063 -0.804 0.000 0 0 0","-1.76,-0.72,0.03,","0.05,1.48,0.37"
"0.000 -1.250 0.000 0 0 0","-1.18,-1.89,-0.00,","1.49,0.86,0.87"
"-1.063 -0.804 0.000 0 0 0","-0.25,-2.32,-0.01,","1.94,-0.43,1.29"
"-1.063 0.388 0.000 0 0 0","0.46,-1.49,-0.03,","0.86,-1.56,0.74"
"0.000 1.250 2.000 0 0 0","0.39,-0.02,1.84,","-0.91,-1.39,-0.87"
"1.063 0.388 2.000 0 0 0","-0.89,-0.07,1.87,","-0.81,0.4,-1.10"
"1.063 -0.804 2.000 0 0 0","-1.52,-0.72,1.89,","0.1,1.28,-0.38"
"0.000 -1.250 2.000 0 0 0","-0.90,-1.86,1.87,","1.42,0.58,0.07"
"-1.063 -0.804 2.000 0 0 0","-0.03,-2.35,1.86,","1.94,-0.55,0.62"
"-1.063 0.388 2.000 0 0 0","0.62,-1.53,1.84,","0.89,-1.53,-0.01"
"0 0 0 0 0 0","-0.41,-1.21,-0.04,","0.5,-0.3,0.04"
"0 0 0 0 0 0","-0.41,-1.20,-0.04,","0.5,-0.35,0.04"
"0 0 0 0 0 30","-0.15,-0.27,0.36,","0.76,-0.37,5.84"
"0 0 0 0 0 0","-0.13,-0.02,0.01,","0.57,-0.14,0.73"
